EmployeeID,FirstName,LastName,Email,PhoneNumber,HireDate,JobTitle,DepartmentID,ManagerID
1,Wanda,Copeland,wanda.copeland.1@company.com,9365607021,2024-09-28,AI Engineer,1,
2,Chase,Schroeder,chase.schroeder.2@company.com,9815440446,2013-07-18,Infra Support Lead,2,
3,Lisa,Lambert,lisa.lambert.3@company.com,7639512848,2014-01-11,SharePoint Admin,3,
4,James,Griffin,james.griffin.4@company.com,7042074382,2008-02-10,Power Apps Dev,4,
5,Sean,Harmon,sean.harmon.5@company.com,7175267251,2021-05-28,Modern Work Lead,5,
6,Kristen,Stephens,kristen.stephens.6@company.com,9760903474,2006-03-04,Integration Specialist,6,
7,Leah,Wu,leah.wu.7@company.com,6790610141,2020-12-14,Accountant,7,
8,Johnathan,Jordan,johnathan.jordan.8@company.com,9964055649,2019-12-13,HR Manager,8,
9,Shane,Singh,shane.singh.9@company.com,8426840947,2022-03-12,Sales Executive,9,
10,Ricky,Robinson,ricky.robinson.10@company.com,9709009397,2014-01-06,AI Engineer,1,1
11,John,Romero,john.romero.11@company.com,9499382157,2007-03-08,AI Engineer,1,1
12,Ryan,Robinson,ryan.robinson.12@company.com,8608491447,2009-11-17,Associate Data Scientist,1,1
13,Franklin,Moore,franklin.moore.13@company.com,6082788196,2005-06-01,Associate Data Scientist,1,1
14,Cynthia,Barnett,cynthia.barnett.14@company.com,7242948278,2005-02-27,Associate Data Scientist,1,1
15,Jose,Price,jose.price.15@company.com,8555932538,2015-03-11,AI Engineer,1,1
16,Ryan,Charles,ryan.charles.16@company.com,7886856412,2014-01-31,Associate Data Scientist,1,1
17,Brandon,Olson,brandon.olson.17@company.com,7136868402,2019-09-19,Associate Data Scientist,1,1
18,Ryan,Smith,ryan.smith.18@company.com,8476815502,2016-03-24,Associate Data Scientist,1,1
19,Stephen,Martinez,stephen.martinez.19@company.com,8447795139,2018-07-17,AI Engineer,1,1
20,John,Walker,john.walker.20@company.com,9924120360,2008-10-28,Associate Data Scientist,1,1
21,Michael,Berger,michael.berger.21@company.com,8075733581,2007-04-12,Associate Data Scientist,1,1
22,Craig,Wood,craig.wood.22@company.com,7448511081,2020-12-03,AI Engineer,1,1
23,Brandon,Green,brandon.green.23@company.com,6281015347,2006-08-01,AI Engineer,1,1
24,Todd,Gomez,todd.gomez.24@company.com,8831597829,2005-05-18,AI Engineer,1,1
25,Dillon,Robinson,dillon.robinson.25@company.com,6515610672,2017-01-16,Associate Data Scientist,1,1
26,Keith,Moore,keith.moore.26@company.com,8174872331,2007-10-19,AI Engineer,1,1
27,Kristina,Nguyen,kristina.nguyen.27@company.com,7173362094,2013-05-05,AI Engineer,1,1
28,Brenda,Wilson,brenda.wilson.28@company.com,8084291555,2017-04-13,AI Engineer,1,1
29,Edward,Harris,edward.harris.29@company.com,8387347959,2018-06-18,Associate Data Scientist,1,1
30,Donna,Ramirez,donna.ramirez.30@company.com,6465413086,2017-05-24,AI Engineer,1,1
31,Jorge,Turner,jorge.turner.31@company.com,8077733511,2013-05-09,Associate Data Scientist,1,1
32,Scott,Castro,scott.castro.32@company.com,9618010619,2018-10-22,AI Engineer,1,1
33,Carrie,Wright,carrie.wright.33@company.com,8545779424,2014-08-06,AI Engineer,1,1
34,Ashley,Alvarez,ashley.alvarez.34@company.com,7385787823,2024-08-13,Associate Data Scientist,1,1
35,James,Potter,james.potter.35@company.com,6523961267,2013-04-25,Associate Data Scientist,1,1
36,Kaitlyn,Cherry,kaitlyn.cherry.36@company.com,9554754791,2011-04-12,Associate Data Scientist,1,1
37,John,Cooley,john.cooley.37@company.com,9035716501,2015-06-24,Associate Data Scientist,1,1
38,Aaron,Herrera,aaron.herrera.38@company.com,7160051425,2006-11-24,Associate Data Scientist,1,1
39,April,Braun,april.braun.39@company.com,7563553717,2009-09-12,AI Engineer,1,1
40,Joseph,Rose,joseph.rose.40@company.com,8202214819,2013-02-21,AI Engineer,1,1
41,James,Powers,james.powers.41@company.com,6026732508,2006-12-06,Associate Data Scientist,1,1
42,David,Young,david.young.42@company.com,9513087031,2022-03-31,Associate Data Scientist,1,1
43,Timothy,Garcia,timothy.garcia.43@company.com,6638675286,2019-12-15,AI Engineer,1,1
44,Juan,Rivera,juan.rivera.44@company.com,7907977347,2011-10-28,AI Engineer,1,1
45,Gabrielle,Williams,gabrielle.williams.45@company.com,7279505457,2021-10-26,AI Engineer,1,1
46,Chad,Huerta,chad.huerta.46@company.com,9328437161,2016-08-15,Associate Data Scientist,1,1
47,Lauren,Hamilton,lauren.hamilton.47@company.com,8125871300,2015-05-02,Associate Data Scientist,1,1
48,Edward,Green,edward.green.48@company.com,6707214148,2011-03-20,Associate Data Scientist,1,1
49,Samuel,Watson,samuel.watson.49@company.com,9159912947,2020-05-02,Associate Data Scientist,1,1
50,Jenna,Wells,jenna.wells.50@company.com,7019154838,2024-02-25,Associate Data Scientist,1,1
51,Kenneth,Reyes,kenneth.reyes.51@company.com,8130907873,2015-08-22,Associate Data Scientist,1,1
52,Danielle,Fields,danielle.fields.52@company.com,9032256472,2009-07-23,AI Engineer,1,1
53,Raymond,Gordon,raymond.gordon.53@company.com,8390693807,2017-12-25,AI Engineer,1,1
54,Jason,Harper,jason.harper.54@company.com,9524054013,2012-03-07,AI Engineer,1,1
55,Ellen,Crawford,ellen.crawford.55@company.com,9887529230,2007-05-09,AI Engineer,1,1
56,Ashley,Nixon,ashley.nixon.56@company.com,6675437001,2015-11-11,AI Engineer,1,1
